SAL,SAL 2021 Name,POA 2021 Code
10001,Aarons Pass,2850
10002,Abbotsbury,2176
10003,Abbotsford (NSW),2046
10004,Abercrombie,2795
10005,Abercrombie River,2795
10006,Aberdare,2325
10007,Aberdeen (NSW),2336
10008,Aberfoyle,2350
10009,Aberglasslyn,2320
10010,Abermain,2326
10011,Abernethy,2325
10012,Abington (NSW),2350
10013,Acacia Creek,2476
10014,Acacia Gardens,2763
10015,Adaminaby,2629
10016,Adamstown,2289
10017,Adamstown Heights,2289
10018,Adelong,2729
10019,Adjungbilly,2727
10020,Afterlee,2474
10021,Agnes Banks,2753
10022,Airds,2560
10023,Akolele,2546
10024,Albert,2873
10025,Albion Park,2527
10026,Albion Park Rail,2527
10027,Albury,2640
10028,Aldavilla,2440
10029,Alectown,2870
10030,Alexandria,2015
10031,Alfords Point,2234
10032,Alfredtown,2650
10033,Alice,2469
10034,Alison (Central Coast - NSW),2259
10035,Alison (Dungog - NSW),2420
10036,Allambie Heights,2100
10037,Allandale (NSW),2320
10038,Allawah,2218
10039,Alleena,2671
10040,Allgomera,2441
10041,Allworth,2425
10042,Allynbrook,2311
10043,Alma Park,2659
10044,Alpine,2575
10045,Alstonvale,2477
10046,Alstonville,2477
10047,Alumy Creek,2460
10048,Amaroo (NSW),2866
10049,Ambarvale,2560
10050,Amosfield,4380
10051,Anabranch North,2648
10052,Anabranch South,2648
10053,Anambah,2320
10054,Ando,2631
10055,Anembo,2621
10056,Angledale,2550
10057,Angledool,2834
10058,Anglers Reach,2629
10059,Angourie,2464
10060,Angus,2765
10061,Anna Bay,2316
10062,Annandale (NSW),2038
10063,Annangrove,2156
10064,Appin (NSW),2560
10065,Apple Tree Flat,2850
10066,Appleby,2340
10067,Appletree Flat,2330
10068,Apsley (NSW),2820
10069,Arable,2630
10070,Arakoon,2431
10071,Araluen (NSW),2622
10072,Aratula (NSW),2714
10073,Arcadia (NSW),2159
10074,Arcadia Vale,2283
10075,Ardglen,2338
10076,Arding,2358
10077,Ardlethan,2665
10078,Argalong,2720
10079,Argenton,2284
10080,Argents Hill,2449
10081,Argoon,2707
10082,Ariah Park,2665
10083,Arkell,2795
10084,Arkstone,2795
10085,Armatree,2828
10086,Armidale,2350
10087,Arncliffe,2205
10088,Arndell Park,2148
10089,Arrawarra,2456
10090,Arrawarra Headland,2456
10091,Artarmon,2064
10092,Arthurville,2820
10093,Arumpo,2715
10094,Ashbury,2193
10095,Ashby (NSW),2463
10096,Ashby Heights,2463
10097,Ashby Island,2463
10098,Ashcroft,2168
10099,Ashfield (NSW),2131
10100,Ashford (NSW),2361
10101,Ashley,2400
10102,Ashmont,2650
10103,Ashtonfield,2323
10104,Asquith,2077
10105,Atholwood,2361
10106,Attunga,2345
10107,Auburn (NSW),2144
10108,Auburn Vale,2360
10109,Austinmer,2515
10110,Austral,2179
10111,Austral Eden,2440
10112,Avalon Beach,2107
10113,Avisford,2850
10114,Avoca (NSW),2577
10115,Avoca Beach,2251
10116,Avon (NSW),2574
10117,Avondale (NSW),2530
10118,Avonside,2628
10119,Awaba,2283
10120,Aylmerton,2575
10121,Baan Baa,2390
10122,Babinda (NSW),2825
10123,Babyl Creek,2470
10124,Back Creek (Bland - NSW),2671
10125,Back Creek (Gwydir - NSW),2390
10126,Back Creek (Mid-Coast - NSW),2422
10127,Back Creek (Queanbeyan-Palerang Regional - NSW),2622
10128,Back Creek (Tenterfield - NSW),2372
10129,Back Creek (Tweed - NSW),2484
10130,Back Forest,2535
10131,Backmede,2470
10132,Backwater,2365
10133,Badgerys Creek,2555
10134,Badja,2630
10135,Baerami,2333
10136,Baerami Creek,2333
10137,Bagnoo,2446
